instance_name,best_model,best_r2_score
ndista262144,polynomial,0.9874786960368814
vgasim_imgfifo-p093,linear,0.9366864605342683
oc8051gm2daddr,linear,0.908790466859739
oski15a01b47s,linear,0.994903446485026
pdtswvtma6x4p1,linear,0.917283734452069
6s194,polynomial,0.9895784358837713
pdtpmscoherence,polynomial,0.9961071940211682
zipcpu-pfcache-p28,linear,0.9983785778730827
oski15a01b10s,linear,0.9993784376287924
zipcpu-pfcache-p02,polynomial,0.91785363582711
pcip1,linear,0.9965095701466615
oski15a01b67s,linear,0.9836643238162405
vis_arrays_am2901,polynomial,0.8295075212741243
oski15a14b09s,linear,0.9897431153885402
oski15a01b30s,exponential,0.9708105515072322
qspiflash_dualflexpress_divfive-p097,linear,0.9280381143376004
arbitrated_top_n3_w64_d64_e0,exponential,0.9616579531876577
pdtvisminmaxr1,linear,0.9931442137392734
arbitrated_top_n4_w16_d16_e0,polynomial,0.8700487538406758
qspiflash_dualflexpress_divfive-p054,linear,0.9143227604723696
oc8051gm12data,linear,0.9367399409762105
intel037,linear,0.99784891967944
intel023,exponential,0.9727464196635224
qspiflash_dualflexpress_divfive-p120,polynomial,0.9965819366095271
picorv32-check-p19,linear,0.9774849107440648
6s7,linear,0.8879314953621397
cal118,exponential,0.9985950667404334
oski15a01b71s,linear,0.9991777673511181
rast-p04,linear,0.983372253732347
eijkbs4863,linear,0.9212997003353199
power2sum256,linear,0.9206846660886552
kenflashp03,linear,0.9996228256233959
6s206rb025,linear,0.9974389695118301
pdtvisblackjack0,linear,0.9988048387452011
pdtvisblackjack1,linear,0.9989998592045931
bobtuint26neg,linear,0.880554574789364
6s400rb07819,linear,0.9990741671112144
beemextnc3f1,exponential,0.9103548070637951
marlann_compute_cp_pass-p2,linear,0.9982269155534392
rast-p11,linear,0.9969254058169025
cal119,polynomial,0.977283769652619
6s351rb15,linear,0.9507850489382776
cal125,exponential,0.9998739697965567
qspiflash_dualflexpress_divfive-p135,linear,0.8970774583206393
intel036,linear,0.8716998467134349
texaspimainp01,linear,0.913299024269326
arbitrated_top_n4_w16_d32_e0,polynomial,0.8612917087347252
oski15a14b33s,linear,0.872524173433374
vgasim_imgfifo-p047,linear,0.9833461219179889
6s372rb26,linear,0.998792669446745
neclaftp5001,linear,1.0
oski15a14b25s,linear,0.9972970728144879
oski15a08b06s,exponential,0.9717653032822915
oski1rub03i,linear,0.9979931016819759
picorv32_mutCX_nomem-p0,exponential,0.9997650862827001
bob9234spec5neg,exponential,0.9924707274154646
bobcount,linear,0.9625619869562463
neclaftp1002,linear,0.9870685812836576
pdtvisvsa16a16,linear,0.9825678483833858
pdtpmsam2901,linear,0.9525165750174253
oski15a01b17s,linear,0.9971600009281741
prodcellp4,linear,0.9718375042680649
pdtvisvending07,linear,0.8904077395210664
beemfrogs4f1,exponential,0.965133579185626
power2bit8,linear,0.946872151074452
eijks820,linear,0.9102480444951482
bob12s03,polynomial,0.8745417671097402
pj2018,linear,0.9879723299879455
qspiflash_dualflexpress_divthree-p111,linear,0.906301577224266
pdtswvtms14x8p1,linear,0.9354828512041908
oski15a01b56s,linear,0.9975612978065379
intel045,linear,0.9550079905277908
cal142,exponential,0.9997839331569133
6s355rb08740,linear,0.9980365579854069
nusmvguidancep1,linear,0.9586826110965241
vis_arrays_am2910_p2,linear,0.9823294382934317
zipversa_composecrc_prf-p00,linear,0.9996316934197141
counterp0,linear,0.9816825805379691
6s288r,linear,0.9281099594813291
beemlup1b1,linear,0.999696146197047
oski15a01b01s,exponential,0.9854883012971076
oc8051gm36addr,linear,0.9658450847084052
oski15a07b3s,linear,0.9742444228544698
oski15a14b14s,linear,0.9978785695443888
zipversa_composecrc_prf-p15,linear,0.9879948808144292
vis_arrays_am2910_p3,linear,0.9343593861243382
cal143,exponential,0.999662357794945
intel044,linear,0.955048026999455
nusmvreactorp1,linear,0.9986872306276425
brpp1,linear,0.8894364083975288
pdtvsarmultip29,linear,0.9952594771343615
oski15a10b00s,polynomial,0.9155059871091712
6s389b02,linear,0.9879886294705402
beemlifts2b1,exponential,0.9967238520363182
bob12s02,linear,0.8979483489582223
eijks208c,polynomial,0.9910900722085179
stack-p2,linear,0.9958507596576828
dspfilters_fastfir_second-p16,polynomial,0.9153615823733294
shift_register_top_w32_d8_e0,linear,0.9205267806943707
vcegar_QF_BV_itc99_b13_p10,polynomial,0.9846586383973515
